type	time	latitude	longitude	altitude (m)	name
T	2008-10-23 04:32:22	39.999569000	116.323280000	49.4	
T	2008-10-23 04:32:27	39.999575000	116.323448000	50.0	
T	2008-10-23 04:32:32	39.999568000	116.323605000	51.8	
T	2008-10-23 04:32:37	39.999558000	116.323605000	52.1	
T	2008-10-23 04:32:42	39.999581000	116.323732000	51.8	
T	2008-10-23 04:32:47	39.999653000	116.324069000	49.4	
T	2008-10-23 04:32:52	39.999678000	116.324258000	49.1	
T	2008-10-23 04:32:57	39.999646000	116.324405000	50.0	
T	2008-10-23 04:33:02	39.999676000	116.324452000	50.3	
T	2008-10-23 04:33:07	39.999678000	116.324453000	50.6	
T	2008-10-23 04:33:12	39.999682000	116.324455000	50.9	
T	2008-10-23 04:33:15	39.999682000	116.324455000	50.9	
T	2008-10-23 04:33:17	39.999676000	116.324456000	50.9	
T	2008-10-23 04:33:22	39.999641000	116.324510000	52.1	
T	2008-10-23 04:33:27	39.999662000	116.324481000	53.6	
T	2008-10-23 04:33:32	39.999651000	116.324477000	54.3	
T	2008-10-23 04:33:37	39.999664000	116.324493000	53.9	
T	2008-10-23 04:33:42	39.999684000	116.324511000	54.3	
T	2008-10-23 04:33:45	39.999684000	116.324511000	54.3	
T	2008-10-23 04:33:47	39.999678000	116.324511000	54.3	
T	2008-10-23 04:33:52	39.999667000	116.324512000	54.6	
T	2008-10-23 04:33:57	39.999655000	116.324513000	54.6	
T	2008-10-23 04:34:02	39.999703000	116.324496000	54.6	
T	2008-10-23 04:34:07	39.999560000	116.324498000	54.6	
T	2008-10-23 04:34:12	39.999506000	116.324545000	54.6	
T	2008-10-23 04:34:17	39.999516000	116.324531000	54.6	
T	2008-10-23 04:34:22	39.999567000	116.324478000	54.6	
T	2008-10-23 04:34:27	39.999573000	116.324600000	54.6	
T	2008-10-23 04:34:32	39.999538000	116.324639000	54.3	
T	2008-10-23 04:34:37	39.999598000	116.324684000	53.9	
T	2008-10-23 04:34:42	39.999666000	116.324722000	53.9	
T	2008-10-23 04:34:47	39.999729000	116.324801000	53.6	
T	2008-10-23 04:34:52	39.999769000	116.324886000	53.3	
T	2008-10-23 09:42:25	40.004775000	116.320158000	32.0	
T	2008-10-23 09:42:30	40.004783000	116.320388000	33.2	
T	2008-10-23 09:42:35	40.004799000	116.320545000	30.2	
T	2008-10-23 09:42:40	40.004835000	116.320683000	28.7	
T	2008-10-23 09:42:45	40.004851000	116.320835000	29.0	
T	2008-10-23 09:42:50	40.004868000	116.321010000	28.7	
T	2008-10-23 09:42:55	40.004849000	116.321153000	31.1	
T	2008-10-23 09:43:00	40.004879000	116.321277000	33.5	
T	2008-10-23 09:43:05	40.004962000	116.321318000	36.0	
T	2008-10-23 09:43:10	40.005088000	116.321280000	39.0	
T	2008-10-23 09:43:15	40.005250000	116.321260000	43.3	
T	2008-10-23 09:43:20	40.005455000	116.321389000	44.2	
T	2008-10-23 09:43:25	40.005621000	116.321455000	44.5	
T	2008-10-23 09:43:30	40.005738000	116.321491000	45.1	
T	2008-10-23 09:43:35	40.005883000	116.321518000	44.8	
T	2008-10-23 09:43:40	40.006051000	116.321521000	46.0	
T	2008-10-23 09:43:45	40.006178000	116.321463000	46.0	
T	2008-10-23 09:43:50	40.006330000	116.321461000	46.6	
T	2008-10-23 09:43:55	40.006482000	116.321474000	45.4	
T	2008-10-23 09:44:00	40.006631000	116.321459000	43.6	
T	2008-10-23 09:44:05	40.006813000	116.321447000	41.8	
T	2008-10-23 09:44:10	40.006974000	116.321454000	43.6	
T	2008-10-23 09:44:15	40.007122000	116.321396000	46.3	
T	2008-10-23 09:44:20	40.007235000	116.321356000	50.3	
T	2008-10-23 09:44:25	40.007410000	116.321395000	53.0	
T	2008-10-23 09:44:30	40.007571000	116.321412000	54.9	
T	2008-10-23 09:44:35	40.007715000	116.321414000	54.6	
T	2008-10-23 09:44:40	40.007862000	116.321426000	55.5	
T	2008-10-23 09:44:45	40.008034000	116.321437000	56.7	
T	2008-10-23 09:44:50	40.008170000	116.321441000	57.6	
T	2008-10-23 09:44:55	40.008337000	116.321425000	59.7	
T	2008-10-23 09:45:00	40.008515000	116.321421000	52.7	
T	2008-10-23 09:45:05	40.008668000	116.321446000	45.1	
T	2008-10-23 09:45:10	40.008782000	116.321443000	46.3	
T	2008-10-23 09:45:15	40.008843000	116.321385000	47.5	
T	2008-10-23 09:45:20	40.008884000	116.321402000	50.3	
T	2008-10-23 09:45:25	40.008950000	116.321449000	45.7	
T	2008-10-23 09:45:30	40.009006000	116.321502000	43.0	
T	2008-10-23 09:45:35	40.009026000	116.321564000	44.8	
T	2008-10-23 09:45:40	40.009011000	116.321623000	44.5	
T	2008-10-23 09:45:45	40.009021000	116.321625000	43.6	
T	2008-10-23 09:45:48	40.009021000	116.321625000	43.6	
T	2008-10-23 09:45:50	40.009020000	116.321631000	44.2	
T	2008-10-23 09:45:55	40.009013000	116.321659000	44.2	
T	2008-10-23 09:49:20	40.008921000	116.321484000	43.3	
T	2008-10-23 09:49:40	40.008582000	116.322217000	72.8	
T	2008-10-23 09:49:45	40.008481000	116.322440000	66.1	
T	2008-10-23 09:49:50	40.008496000	116.322406000	65.8	
T	2008-10-23 09:49:55	40.008880000	116.321628000	50.9	
T	2008-10-23 09:50:00	40.008980000	116.321587000	42.7	
T	2008-10-23 09:50:05	40.008980000	116.321544000	40.5	
T	2008-10-23 09:50:10	40.008984000	116.321525000	40.8	
T	2008-10-23 09:50:13	40.008984000	116.321525000	40.8	
T	2008-10-23 09:50:15	40.008982000	116.321517000	40.8	
T	2008-10-23 09:50:20	40.008958000	116.321457000	40.8	
T	2008-10-23 09:50:25	40.008971000	116.321436000	40.5	
T	2008-10-23 09:50:30	40.009022000	116.321434000	40.5	
T	2008-10-23 09:50:35	40.009025000	116.321374000	39.6	
T	2008-10-23 09:50:40	40.009030000	116.321397000	39.3	
T	2008-10-23 09:50:45	40.009062000	116.321462000	39.9	
T	2008-10-23 09:50:50	40.009081000	116.321486000	40.5	
T	2008-10-23 09:50:55	40.009080000	116.321479000	40.8	
T	2008-10-23 09:50:58	40.009080000	116.321479000	40.8	
T	2008-10-23 09:51:00	40.009081000	116.321481000	40.8	
T	2008-10-23 09:51:05	40.009083000	116.321491000	40.8	
T	2008-10-23 09:51:10	40.009094000	116.321520000	40.8	
T	2008-10-23 09:51:15	40.009072000	116.321585000	43.3	
T	2008-10-23 09:51:20	40.009083000	116.321467000	42.7	
T	2008-10-23 09:51:25	40.009080000	116.321442000	43.0	
T	2008-10-23 09:51:30	40.009087000	116.321453000	43.3	
T	2008-10-23 09:51:35	40.009065000	116.321479000	44.8	
T	2008-10-23 09:51:40	40.009071000	116.321517000	44.2	
T	2008-10-23 09:51:45	40.009075000	116.321560000	43.9	
T	2008-10-23 09:51:50	40.009105000	116.321616000	43.6	
T	2008-10-23 09:51:55	40.009080000	116.321560000	43.6	
T	2008-10-23 09:52:00	40.009031000	116.321491000	43.3	
T	2008-10-23 09:52:05	40.008995000	116.321407000	43.3	
T	2008-10-23 09:52:08	40.008995000	116.321407000	43.3	
T	2008-10-23 09:52:10	40.008999000	116.321412000	43.3	
T	2008-10-23 09:52:15	40.008997000	116.321399000	43.3	
T	2008-10-23 09:52:20	40.008994000	116.321389000	43.6	
T	2008-10-23 09:52:23	40.008994000	116.321389000	43.6	
T	2008-10-23 09:52:25	40.008995000	116.321392000	43.6	
T	2008-10-23 09:52:30	40.009235000	116.321472000	43.6	
T	2008-10-23 09:52:35	40.009268000	116.321446000	44.5	
T	2008-10-23 09:52:40	40.009270000	116.321447000	44.5	
T	2008-10-23 09:52:43	40.009270000	116.321447000	44.5	
T	2008-10-23 09:52:45	40.009272000	116.321451000	44.5	
T	2008-10-23 09:52:50	40.009280000	116.321473000	44.5	
T	2008-10-23 09:52:51	40.009278000	116.321470000	44.5	
T	2008-10-23 09:52:56	40.009242000	116.321445000	44.2	
T	2008-10-23 09:53:01	40.009187000	116.321430000	43.9	
T	2008-10-23 09:53:06	40.009098000	116.321437000	43.3	
T	2008-10-23 09:53:11	40.009045000	116.321485000	43.6	
T	2008-10-23 09:53:16	40.009008000	116.321449000	42.7	
T	2008-10-23 09:53:21	40.008993000	116.321501000	42.4	
T	2008-10-23 09:53:26	40.009017000	116.321558000	42.1	
T	2008-10-23 09:53:31	40.008999000	116.321511000	41.1	
T	2008-10-23 09:53:34	40.008999000	116.321511000	41.1	
T	2008-10-23 09:53:36	40.008997000	116.321518000	41.1	
T	2008-10-23 09:53:41	40.008999000	116.321537000	41.1	
T	2008-10-23 09:53:46	40.009026000	116.321518000	40.5	
T	2008-10-23 09:53:51	40.009009000	116.321499000	40.5	
T	2008-10-23 09:53:54	40.009009000	116.321499000	40.5	
T	2008-10-23 09:53:56	40.009011000	116.321506000	40.5	
T	2008-10-23 09:54:01	40.009013000	116.321522000	40.5	
T	2008-10-23 09:54:06	40.009012000	116.321576000	40.5	
T	2008-10-23 09:54:11	40.009034000	116.321569000	40.5	
T	2008-10-23 09:54:14	40.009034000	116.321569000	40.5	
T	2008-10-23 09:54:16	40.009038000	116.321575000	40.5	
T	2008-10-23 09:54:21	40.009024000	116.321614000	40.2	
T	2008-10-23 09:54:26	40.009015000	116.321526000	40.8	
T	2008-10-23 09:54:31	40.008997000	116.321432000	39.9	
T	2008-10-23 09:54:36	40.008995000	116.321455000	39.9	
T	2008-10-23 09:54:41	40.008997000	116.321485000	40.2	
T	2008-10-23 09:54:46	40.009032000	116.321510000	39.6	
T	2008-10-23 09:54:51	40.009074000	116.321480000	39.3	
T	2008-10-23 09:54:56	40.009101000	116.321530000	39.0	
T	2008-10-23 09:55:01	40.009157000	116.321596000	38.7	
T	2008-10-23 09:55:06	40.009219000	116.321657000	39.6	
T	2008-10-23 09:55:11	40.009247000	116.321721000	42.4	
T	2008-10-23 09:55:16	40.009273000	116.321781000	44.2	
T	2008-10-23 09:55:21	40.009313000	116.321871000	46.9	
T	2008-10-23 09:55:26	40.009344000	116.321952000	48.5	
T	2008-10-23 09:55:31	40.009356000	116.322007000	50.0	
T	2008-10-23 09:55:36	40.009386000	116.322103000	49.7	
T	2008-10-23 09:55:41	40.009356000	116.322121000	50.3	
T	2008-10-23 09:55:46	40.009353000	116.322135000	50.3	
T	2008-10-23 09:55:51	40.009319000	116.322152000	50.3	
T	2008-10-23 09:55:56	40.009394000	116.322162000	51.2	
T	2008-10-23 09:56:01	40.009399000	116.322179000	51.2	
T	2008-10-23 09:56:06	40.009344000	116.322190000	50.9	
T	2008-10-23 09:56:11	40.009342000	116.322177000	50.6	
T	2008-10-23 09:56:16	40.009318000	116.322190000	50.0	
T	2008-10-23 09:56:21	40.009287000	116.322206000	49.4	
T	2008-10-23 09:56:26	40.009270000	116.322220000	50.3	
T	2008-10-23 10:02:04	40.009351000	116.321916000	48.2	
T	2008-10-23 10:02:09	40.009336000	116.321838000	47.9	
T	2008-10-23 10:02:14	40.009331000	116.321811000	45.7	
T	2008-10-23 10:02:19	40.009314000	116.321823000	46.3	
T	2008-10-23 10:02:24	40.009314000	116.321833000	46.0	
T	2008-10-23 10:02:29	40.009316000	116.321850000	45.7	
T	2008-10-23 10:03:39	40.009428000	116.320888000	42.7	
T	2008-10-23 10:03:44	40.008854000	116.321493000	52.4	
T	2008-10-23 10:03:49	40.008848000	116.321349000	54.9	
T	2008-10-23 10:03:54	40.008874000	116.321160000	39.6	
T	2008-10-23 10:03:59	40.008852000	116.321109000	34.1	
T	2008-10-23 10:04:04	40.008786000	116.321037000	36.6	
T	2008-10-23 10:04:09	40.008767000	116.321012000	38.7	
T	2008-10-23 10:04:14	40.008735000	116.320977000	36.0	
T	2008-10-23 10:04:19	40.008694000	116.320964000	35.7	
T	2008-10-23 10:04:24	40.008665000	116.320937000	36.9	
T	2008-10-23 10:04:29	40.008635000	116.320886000	36.0	
T	2008-10-23 10:04:34	40.008612000	116.320830000	36.6	
T	2008-10-23 10:04:39	40.008591000	116.320800000	36.3	
T	2008-10-23 10:04:44	40.008574000	116.320772000	36.3	
T	2008-10-23 10:04:49	40.008521000	116.320688000	36.0	
T	2008-10-23 10:04:54	40.008471000	116.320669000	36.0	
T	2008-10-23 10:04:59	40.008419000	116.320654000	36.0	
T	2008-10-23 10:05:04	40.008362000	116.320619000	36.3	
T	2008-10-23 10:05:09	40.008348000	116.320573000	36.3	
T	2008-10-23 10:05:14	40.008309000	116.320547000	36.0	
T	2008-10-23 10:05:19	40.008281000	116.320543000	34.7	
T	2008-10-23 10:05:24	40.008234000	116.320499000	35.1	
T	2008-10-23 10:05:29	40.008163000	116.320473000	37.5	
T	2008-10-23 10:05:34	40.008129000	116.320418000	37.5	
T	2008-10-23 10:05:39	40.008121000	116.320359000	37.2	
T	2008-10-23 10:05:44	40.008069000	116.320335000	38.1	
T	2008-10-23 10:05:49	40.008027000	116.320309000	38.1	
T	2008-10-23 10:05:54	40.008010000	116.320287000	38.4	
T	2008-10-23 10:05:59	40.007959000	116.320241000	39.6	
T	2008-10-23 10:06:04	40.007947000	116.320238000	39.9	
T	2008-10-23 10:06:09	40.007879000	116.320237000	40.8	
T	2008-10-23 10:06:14	40.007826000	116.320239000	41.5	
T	2008-10-23 10:06:19	40.007818000	116.320239000	41.8	
T	2008-10-23 10:06:22	40.007818000	116.320239000	41.8	
T	2008-10-23 10:06:24	40.007819000	116.320240000	42.1	
T	2008-10-23 10:06:29	40.007817000	116.320230000	42.1	
T	2008-10-23 10:06:34	40.007834000	116.320181000	42.1	
T	2008-10-23 10:06:39	40.007761000	116.320093000	41.1	
T	2008-10-23 10:06:44	40.007661000	116.319986000	40.8	
T	2008-10-23 10:06:49	40.007623000	116.319953000	40.8	
T	2008-10-23 10:06:52	40.007623000	116.319953000	40.8	
T	2008-10-23 10:06:54	40.007621000	116.319950000	40.8	
T	2008-10-23 10:06:59	40.007575000	116.319870000	40.8	
T	2008-10-23 10:07:04	40.007551000	116.319732000	40.5	
T	2008-10-23 10:07:09	40.007526000	116.319650000	40.2	
T	2008-10-23 10:07:14	40.007468000	116.319517000	40.2	
T	2008-10-23 10:07:19	40.007465000	116.319506000	40.2	
T	2008-10-23 10:07:21	40.007462000	116.319493000	40.2	
T	2008-10-23 10:07:26	40.007459000	116.319436000	39.9	
T	2008-10-23 10:07:31	40.007453000	116.319403000	39.9	
T	2008-10-23 10:07:36	40.007454000	116.319391000	39.6	
T	2008-10-23 10:07:41	40.007474000	116.319376000	39.6	
T	2008-10-23 10:07:46	40.007500000	116.319364000	39.6	
T	2008-10-23 10:07:51	40.007524000	116.319357000	39.6	
T	2008-10-23 10:07:56	40.007524000	116.319321000	39.6	
T	2008-10-23 10:08:01	40.007517000	116.319312000	39.6	
T	2008-10-23 10:08:06	40.007551000	116.319307000	39.6	
T	2008-10-23 10:08:09	40.007551000	116.319307000	39.6	
T	2008-10-23 10:08:11	40.007555000	116.319313000	39.6	
T	2008-10-23 10:08:16	40.007590000	116.319340000	39.6	
T	2008-10-23 10:08:21	40.007610000	116.319355000	39.6	
T	2008-10-23 10:08:26	40.007615000	116.319369000	39.6	
T	2008-10-23 10:08:31	40.007621000	116.319385000	39.6	
T	2008-10-23 10:08:36	40.007644000	116.319403000	39.6	
T	2008-10-23 10:08:41	40.007663000	116.319417000	39.6	
T	2008-10-23 10:08:44	40.007663000	116.319417000	39.6	
T	2008-10-23 10:08:46	40.007669000	116.319414000	39.6	
T	2008-10-23 10:08:51	40.007661000	116.319384000	39.6	
T	2008-10-23 10:08:56	40.007654000	116.319321000	39.6	
T	2008-10-23 10:09:01	40.007654000	116.319266000	39.6	
T	2008-10-23 10:09:06	40.007670000	116.319215000	39.6	
T	2008-10-23 10:09:11	40.007694000	116.319181000	39.6	
T	2008-10-23 10:09:16	40.007699000	116.319151000	39.6	
T	2008-10-23 10:09:26	40.007272000	116.319756000	39.3	
T	2008-10-23 10:09:31	40.007331000	116.319657000	39.3	
T	2008-10-23 10:09:41	40.007428000	116.319432000	39.6	
T	2008-10-23 10:09:46	40.007395000	116.319354000	38.1	
T	2008-10-23 10:09:51	40.007447000	116.319379000	36.9	
T	2008-10-23 10:09:56	40.007479000	116.319371000	35.7	
T	2008-10-23 10:10:01	40.007516000	116.319316000	34.1	
T	2008-10-23 10:10:06	40.007575000	116.319238000	33.8	
T	2008-10-23 10:10:31	40.007288000	116.319088000	38.1	
T	2008-10-23 10:10:34	40.007288000	116.319088000	38.1	
T	2008-10-23 10:10:36	40.007284000	116.319084000	40.5	
T	2008-10-23 10:10:41	40.007298000	116.319036000	42.1	
T	2008-10-23 10:10:46	40.007365000	116.319030000	43.9	
T	2008-10-23 10:10:51	40.007416000	116.319007000	44.8	
T	2008-10-23 10:10:56	40.007482000	116.318957000	44.8	
T	2008-10-23 10:11:01	40.007548000	116.318852000	43.9	
T	2008-10-23 10:11:06	40.007627000	116.318775000	42.4	
T	2008-10-23 10:11:11	40.007718000	116.318705000	41.1	
T	2008-10-23 10:11:16	40.007808000	116.318623000	39.9	
T	2008-10-23 10:11:21	40.007877000	116.318546000	38.7	
T	2008-10-23 10:11:26	40.007945000	116.318487000	38.1	
T	2008-10-23 10:11:31	40.008030000	116.318444000	37.5	
T	2008-10-23 10:11:36	40.008125000	116.318365000	37.2	
T	2008-10-23 10:11:41	40.008215000	116.318248000	36.6	
T	2008-10-23 10:11:46	40.008168000	116.318293000	36.6	
T	2008-10-23 10:11:51	40.008015000	116.318471000	35.7	
T	2008-10-23 10:11:56	40.008049000	116.318444000	34.7	
T	2008-10-23 10:12:01	40.008064000	116.318380000	33.8	
T	2008-10-23 10:12:06	40.008118000	116.318326000	33.2	
T	2008-10-23 10:12:11	40.008197000	116.318275000	32.3	
T	2008-10-23 10:12:16	40.008289000	116.318251000	31.7	
T	2008-10-23 10:12:21	40.008305000	116.318267000	30.8	
T	2008-10-23 10:12:26	40.008276000	116.318339000	29.9	
T	2008-10-23 10:12:31	40.008184000	116.318474000	29.0	
T	2008-10-23 10:12:36	40.008071000	116.318568000	27.7	
T	2008-10-23 10:12:41	40.007954000	116.318639000	26.5	
T	2008-10-23 10:12:46	40.007884000	116.318684000	25.0	
T	2008-10-23 10:12:51	40.007867000	116.318699000	23.5	
T	2008-10-23 10:12:56	40.007835000	116.318706000	21.9	
T	2008-10-23 10:13:01	40.007717000	116.318842000	21.6	
T	2008-10-23 10:13:06	40.007726000	116.318826000	20.1	
T	2008-10-23 10:13:11	40.007721000	116.318792000	18.6	
T	2008-10-23 10:13:16	40.007753000	116.318741000	17.7	
T	2008-10-23 10:13:21	40.007803000	116.318672000	18.0	
T	2008-10-23 10:13:26	40.007852000	116.318565000	18.3	
T	2008-10-23 10:13:31	40.007925000	116.318494000	18.9	
T	2008-10-23 10:13:36	40.008019000	116.318455000	19.5	
T	2008-10-23 10:14:21	40.006977000	116.319607000	40.8	
T	2008-10-23 10:14:26	40.007203000	116.319334000	42.4	
T	2008-10-23 10:14:31	40.007350000	116.319131000	42.7	
T	2008-10-23 10:14:36	40.007504000	116.318956000	42.7	
T	2008-10-23 10:14:41	40.007611000	116.318793000	42.7	
T	2008-10-23 10:14:46	40.007773000	116.318650000	42.7	
T	2008-10-23 10:14:51	40.007966000	116.318540000	42.7	
T	2008-10-23 10:15:06	40.007399000	116.319120000	39.9	
T	2008-10-23 10:15:11	40.007411000	116.319124000	34.1	
T	2008-10-23 10:15:16	40.007440000	116.319090000	28.0	
T	2008-10-23 10:15:21	40.007496000	116.319085000	21.3	
T	2008-10-23 10:15:26	40.007540000	116.319090000	18.6	
T	2008-10-23 10:15:31	40.007619000	116.319094000	18.0	
T	2008-10-23 10:15:36	40.007648000	116.319041000	6.7	
T	2008-10-23 10:15:41	40.007681000	116.318962000	-9.1	
T	2008-10-23 10:15:46	40.007724000	116.318892000	-23.2	
T	2008-10-23 10:15:51	40.007766000	116.318825000	-47.2	
T	2008-10-23 10:15:56	40.007809000	116.318799000	-66.4	
T	2008-10-23 10:16:01	40.007849000	116.318754000	-84.7	
T	2008-10-23 10:16:06	40.007905000	116.318690000	-102.4	
T	2008-10-23 10:18:11	40.007878000	116.318784000	-44.2	
T	2008-10-23 10:18:16	40.007616000	116.318863000	36.3	
T	2008-10-23 10:18:21	40.007692000	116.318817000	40.8	
T	2008-10-23 10:18:26	40.007794000	116.318827000	41.5	
T	2008-10-23 10:18:31	40.007898000	116.318829000	41.8	
T	2008-10-23 10:18:36	40.007981000	116.318788000	42.1	
T	2008-10-23 10:18:41	40.008009000	116.318763000	42.1	
T	2008-10-23 10:18:46	40.008031000	116.318756000	42.1	
T	2008-10-23 10:18:51	40.008055000	116.318753000	42.1	
T	2008-10-23 10:18:56	40.008237000	116.318816000	41.1	
T	2008-10-23 10:19:01	40.008306000	116.318941000	38.7	
T	2008-10-23 10:19:06	40.008283000	116.318897000	37.5	
T	2008-10-23 10:19:11	40.008300000	116.318936000	36.0	
T	2008-10-23 10:19:16	40.007645000	116.319454000	36.9	
T	2008-10-23 10:19:21	40.007582000	116.319409000	38.7	
T	2008-10-23 10:19:26	40.007581000	116.319385000	42.1	
T	2008-10-23 10:19:31	40.007612000	116.319403000	45.7	
T	2008-10-23 10:19:36	40.007694000	116.319429000	49.1	
T	2008-10-23 10:19:41	40.007778000	116.319475000	53.0	
T	2008-10-23 10:19:46	40.007876000	116.319505000	55.5	
T	2008-10-23 10:19:51	40.007974000	116.319529000	56.4	
T	2008-10-23 10:19:56	40.008096000	116.319537000	57.3	
T	2008-10-23 10:20:01	40.008196000	116.319549000	57.3	
T	2008-10-23 10:20:06	40.008292000	116.319591000	56.4	
T	2008-10-23 10:20:11	40.008369000	116.319618000	55.8	
T	2008-10-23 10:20:16	40.008421000	116.319597000	55.5	
T	2008-10-23 10:20:21	40.008452000	116.319548000	54.9	
T	2008-10-23 10:20:26	40.008503000	116.319525000	54.6	
T	2008-10-23 10:20:31	40.008544000	116.319490000	54.3	
T	2008-10-23 10:20:36	40.008601000	116.319482000	53.3	
T	2008-10-23 10:20:41	40.008617000	116.319483000	53.3	
T	2008-10-23 10:20:44	40.008617000	116.319483000	53.3	
T	2008-10-23 10:20:46	40.008625000	116.319489000	53.3	
T	2008-10-23 10:20:56	40.008640000	116.319488000	53.3	
T	2008-10-23 10:21:01	40.008645000	116.319484000	53.0	
T	2008-10-23 10:21:04	40.008645000	116.319484000	53.0	
T	2008-10-23 10:21:06	40.008649000	116.319481000	53.0	
T	2008-10-23 10:21:16	40.008669000	116.319455000	53.0	
T	2008-10-23 10:26:35	40.006747000	116.318549000	2311.6	
T	2008-10-23 10:26:43	40.006747000	116.318549000	2311.6	
T	2008-10-23 10:26:45	40.006755000	116.318544000	2303.7	
T	2008-10-23 10:26:50	40.006742000	116.318571000	2300.3	
T	2008-10-23 10:26:55	40.006744000	116.318560000	2300.0	
T	2008-10-23 10:27:00	40.006745000	116.318572000	2299.4	
T	2008-10-23 10:27:05	40.006745000	116.318581000	2299.4	
T	2008-10-23 10:27:10	40.006739000	116.318568000	2299.7	
T	2008-10-23 10:27:15	40.006722000	116.318548000	2299.7	
T	2008-10-23 10:27:20	40.006719000	116.318565000	2299.4	
T	2008-10-23 10:27:25	40.006724000	116.318625000	2299.4	
T	2008-10-23 10:27:30	40.006745000	116.318817000	2236.9	
T	2008-10-23 10:27:35	40.006715000	116.318884000	2229.9	
T	2008-10-23 10:27:40	40.006721000	116.318965000	2227.2	
T	2008-10-23 10:27:45	40.006753000	116.319072000	2223.5	
T	2008-10-23 10:27:50	40.006785000	116.319175000	2220.8	
T	2008-10-23 10:27:55	40.006810000	116.319239000	2219.2	
T	2008-10-23 10:28:00	40.006849000	116.319286000	2218.3	
T	2008-10-23 10:28:05	40.006811000	116.319309000	2211.9	
T	2008-10-23 10:28:10	40.006789000	116.319351000	2207.4	
T	2008-10-23 10:28:15	40.006791000	116.319398000	2204.0	
T	2008-10-23 10:28:20	40.006828000	116.319424000	2205.2	
T	2008-10-23 10:28:25	40.006872000	116.319419000	2207.1	
T	2008-10-23 10:28:30	40.006893000	116.319381000	2208.9	
T	2008-10-23 10:28:35	40.006975000	116.319294000	2215.9	
T	2008-10-23 10:28:45	40.007457000	116.319674000	174.7	
T	2008-10-23 10:28:48	40.007457000	116.319674000	174.7	
T	2008-10-23 10:28:50	40.007458000	116.319676000	175.6	
T	2008-10-23 10:28:55	40.007479000	116.319695000	175.9	
T	2008-10-23 10:29:00	40.007572000	116.319786000	175.0	
T	2008-10-23 10:29:05	40.007582000	116.319816000	160.3	
T	2008-10-23 10:29:10	40.007621000	116.319834000	140.2	
T	2008-10-23 10:29:15	40.007629000	116.319890000	130.8	
T	2008-10-23 10:29:20	40.007634000	116.319966000	122.8	
T	2008-10-23 10:29:25	40.007646000	116.320050000	118.0	
T	2008-10-23 10:29:30	40.007660000	116.320119000	107.3	
T	2008-10-23 10:29:35	40.007686000	116.320243000	87.2	
T	2008-10-23 10:29:40	40.007748000	116.320301000	75.6	
T	2008-10-23 10:29:45	40.007802000	116.320389000	69.5	
T	2008-10-23 10:29:50	40.007819000	116.320364000	64.6	
T	2008-10-23 10:29:55	40.007853000	116.320343000	58.5	
T	2008-10-23 10:30:00	40.007912000	116.320328000	52.4	
T	2008-10-23 10:30:05	40.007978000	116.320325000	45.7	
T	2008-10-23 10:30:10	40.007999000	116.320339000	43.3	
T	2008-10-23 10:30:15	40.008036000	116.320394000	40.2	
T	2008-10-23 10:30:20	40.008125000	116.320486000	44.5	
T	2008-10-23 10:30:25	40.008172000	116.320571000	45.7	
T	2008-10-23 10:30:30	40.008182000	116.320646000	44.8	
T	2008-10-23 10:30:35	40.008226000	116.320738000	40.8	
T	2008-10-23 10:30:40	40.008236000	116.320810000	43.6	
T	2008-10-23 10:30:45	40.008306000	116.320851000	44.8	
T	2008-10-23 10:30:50	40.008373000	116.320857000	42.4	
T	2008-10-23 10:30:55	40.008418000	116.320872000	38.1	
T	2008-10-23 10:31:00	40.008460000	116.320864000	33.2	
T	2008-10-23 10:31:05	40.008507000	116.320918000	31.7	
T	2008-10-23 10:31:10	40.008535000	116.320997000	31.1	
T	2008-10-23 10:31:15	40.008565000	116.321079000	31.1	
T	2008-10-23 10:31:20	40.008619000	116.321168000	28.7	
T	2008-10-23 10:31:25	40.008663000	116.321249000	28.3	
T	2008-10-23 10:31:30	40.008684000	116.321297000	26.8	
T	2008-10-23 10:31:35	40.008724000	116.321395000	28.0	
T	2008-10-23 10:31:40	40.008776000	116.321462000	27.7	
T	2008-10-23 10:31:45	40.008804000	116.321504000	26.2	
T	2008-10-23 10:31:50	40.008839000	116.321516000	25.0	
T	2008-10-23 10:31:55	40.008879000	116.321555000	27.1	
T	2008-10-23 10:32:00	40.008891000	116.321571000	28.7	
T	2008-10-23 10:32:05	40.008873000	116.321615000	29.6	
T	2008-10-23 10:32:10	40.008858000	116.321677000	27.4	
T	2008-10-23 10:32:15	40.008864000	116.321766000	26.8	
T	2008-10-23 10:32:20	40.008870000	116.321858000	26.2	
T	2008-10-23 10:32:25	40.008864000	116.321933000	25.6	
T	2008-10-23 10:32:30	40.008862000	116.322009000	25.3	
T	2008-10-23 10:32:35	40.008855000	116.322087000	25.0	
T	2008-10-23 10:32:40	40.008873000	116.322144000	25.6	
T	2008-10-23 10:32:45	40.008874000	116.322234000	24.4	
T	2008-10-23 10:32:50	40.008869000	116.322306000	24.4	
T	2008-10-23 10:32:55	40.008835000	116.322331000	25.0	
T	2008-10-23 10:33:00	40.008814000	116.322311000	25.6	
T	2008-10-23 10:33:05	40.008813000	116.322300000	25.9	
T	2008-10-23 10:33:08	40.008813000	116.322300000	25.9	
T	2008-10-23 10:33:10	40.008821000	116.322297000	26.2	
T	2008-10-23 10:33:15	40.008833000	116.322297000	26.2	
